Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,44:44:00,7,17,0.412,0,1,0,11,12,0.917,3,5,8,13,1,0,3,2,25,-3
Tyler Herro,42:50:00,5,12,0.417,1,3,0.333,6,6,1,0,7,7,3,0,0,2,3,17,-1
Jae Crowder,28:27:00,5,6,0.833,2,3,0.667,0,0,,0,7,7,2,0,0,0,2,12,-14
Duncan Robinson,21:57,2,7,0.286,2,7,0.286,3,3,1,0,0,0,4,1,0,0,4,9,-21
Meyers Leonard,9:11,2,3,0.667,1,1,1,2,2,1,0,0,0,1,0,0,0,1,7,-8
Kelly Olynyk,37:00:00,9,16,0.563,3,7,0.429,3,5,0.6,1,8,9,2,0,0,2,5,24,-3
Kendrick Nunn,29:12:00,3,7,0.429,1,4,0.25,6,6,1,1,3,4,3,0,1,2,4,13,0
Andre Iguodala,25:38:00,3,3,1,1,1,1,0,0,,1,1,2,1,0,0,0,2,7,1
Solomon Hill,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Derrick Jones,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
