Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,37:09:00,0.508,0.45,0.25,0.3,0,9,4.6,14.2,5.2,0,8.1,30.2,97,108,1.9
Duncan Robinson,36:28:00,0.563,0.563,0.875,0,0,9.2,4.7,0,0,0,0,10,104,119,-5
Kendrick Nunn,35:46:00,0.533,0.533,0.4,0,0,6.2,3.2,31.7,2.7,0,6.3,20.4,111,114,2.8
Bam Adebayo,35:21:00,0.455,0.455,0,0.455,13.2,25.3,19.4,21.1,0,2.7,13.2,19.6,104,113,-0.7
Meyers Leonard,14:09,0.833,0.833,0.667,0,0,0,0,10.5,0,0,25,12.9,115,122,-1.4
Derrick Jones,27:54:00,0.893,0.833,0.5,1.333,0,16,8.2,21.4,3.5,0,0,15.6,186,109,15.6
Tyler Herro,23:46,0.292,0.292,0.5,0,0,14.1,7.2,6.1,0,0,7.7,24.9,57,118,-13.4
Kelly Olynyk,21:00,0.677,0.563,0.5,0.875,5.6,26.6,16.3,23,0,0,8.3,26.2,135,113,5.2
Chris Silva,8:27,1.042,1,0,1,0,13.2,6.8,0,0,11.4,0,15.5,220,112,12.3
Team Totals,240,0.565,0.518,0.388,0.329,12.2,67.4,40.5,61.5,8.1,4,7.6,100,111.1,114.1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
