Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,33:25:00,8,13,0.615,2,4,0.5,5,5,1,0,2,2,5,2,0,2,0,23,-14
Duncan Robinson,27:03:00,0,3,0,0,3,0,0,0,,0,4,4,0,0,0,0,2,0,-8
Jae Crowder,24:30:00,4,8,0.5,4,7,0.571,0,0,,0,2,2,0,0,2,0,3,12,-21
Bam Adebayo,21:10,2,8,0.25,0,0,,4,6,0.667,2,2,4,0,0,0,0,2,8,-12
Goran Dragić,14:50,3,8,0.375,0,1,0,0,0,,0,1,1,3,2,0,1,0,6,1
Tyler Herro,30:15:00,6,18,0.333,2,8,0.25,0,1,0,0,4,4,3,0,0,2,1,14,-35
Andre Iguodala,25:23:00,3,7,0.429,1,2,0.5,0,0,,2,3,5,6,0,1,1,3,7,-25
Kendrick Nunn,19:49,8,11,0.727,2,4,0.5,0,0,,1,4,5,2,0,0,0,0,18,8
Kelly Olynyk,18:04,1,5,0.2,0,2,0,2,2,1,0,5,5,4,0,2,1,2,4,14
Solomon Hill,18:02,2,6,0.333,0,4,0,0,0,,0,3,3,0,0,0,0,2,4,3
Derrick Jones,7:29,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-1
Team Totals,240,38,89,0.427,11,35,0.314,11,14,0.786,5,31,36,23,4,5,8,15,98,
