Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LeBron James,36:03:00,0.629,0.632,0.368,0.105,3.4,8.7,6.3,29.9,0,0,13.1,27.6,114,93,9.7
Anthony Davis,34:45:00,0.693,0.647,0,0.235,7.1,18,13,39,2.9,9.2,9.6,25.9,136,77,22.3
Avery Bradley,24:54:00,0.5,0.5,0.444,0,4.9,16.8,11.3,17.9,0,0,18.2,19.2,93,90,-1.7
Danny Green,23:18,0.269,0.214,0.714,0.143,5.3,9,7.3,10.9,4.4,0,21.2,17.6,62,82,-5
JaVale McGee,15:54,0.605,0.571,0,0.143,23.2,45.9,35.5,10.8,3.2,6.7,11.8,23.1,119,70,13.3
Kyle Kuzma,25:18:00,0.389,0.389,0.778,0,4.9,16.5,11.2,5.5,0,0,30.8,22.3,59,90,-10.3
Alex Caruso,18:41,0.5,0.5,0.167,0,0,16.8,9.1,31.8,0,5.7,14.3,16.3,105,87,5.3
Kentavious Caldwell-Pope,17:54,0.167,0.167,0.5,0,6.9,5.8,6.3,21.6,2.8,0,0,14.6,72,87,-0.8
Dwight Howard,15:21,0.5,0.5,0,0,0,40.8,22.1,8.5,0,0,33.3,8.5,75,82,-4.9
Quinn Cook,14:45,0.25,0.25,0.5,0,0,0,0,17.7,0,0,33.3,17.7,50,95,-13.3
Troy Daniels,13:07,0.5,0.5,1,0,0,15.9,8.6,0,0,0,0,9.9,102,90,0.1
Team Totals,240,0.513,0.494,0.36,0.09,25.6,82.6,56.5,75,6.4,11.1,16.3,100,100.7,84.8,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
