Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,39:33:00,15,20,0.75,1,1,1,1,1,1,8,6,14,1,1,0,3,4,32,10
LeBron James,39:09:00,14,25,0.56,3,8,0.375,2,5,0.4,2,7,9,9,1,1,0,2,33,7
Kentavious Caldwell-Pope,31:51:00,4,14,0.286,2,11,0.182,1,1,1,1,3,4,4,1,0,0,2,11,14
Danny Green,22:07,1,8,0.125,1,8,0.125,0,0,,1,1,2,2,2,0,0,1,3,4
Dwight Howard,17:11,3,3,1,0,0,,0,3,0,0,2,2,1,0,2,0,4,6,5
Rajon Rondo,26:00:00,5,9,0.556,3,4,0.75,3,4,0.75,0,4,4,10,0,0,1,3,16,7
Alex Caruso,23:14,2,5,0.4,2,4,0.5,0,0,,2,0,2,2,1,0,2,4,6,-5
Kyle Kuzma,21:40,3,8,0.375,2,6,0.333,3,3,1,1,1,2,1,0,0,3,1,11,5
Markieff Morris,15:54,2,5,0.4,2,5,0.4,0,0,,1,4,5,2,0,0,0,3,6,3
J.R. Smith,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
