Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,42:13:00,0.756,0.667,0.333,0.533,9,26.9,18,12.3,3.7,6.8,9.7,22,152,111,13.8
LeBron James,41:51:00,0.846,0.857,0.429,0.286,9.1,30.2,19.6,38.6,3.7,0,14.5,29.8,152,115,23.2
Kentavious Caldwell-Pope,31:01:00,0.518,0.5,0.533,0.067,4.1,8.1,6.1,10.8,1.7,0,0,22.5,123,125,1
Danny Green,23:46,0.5,0.5,0.625,0,0,5.3,2.7,6.3,0,4,11.1,17.1,100,127,-5
Dwight Howard,15:25,0.532,0,0,2,16.4,0,8.2,0,0,0,34.7,8.4,106,131,-12.3
Alex Caruso,22:47,0.5,0.5,0.667,0,0,16.6,8.3,17.6,2.3,0,50,11.9,72,122,-5.9
Markieff Morris,22:34,0,0,1,0,5.6,0,2.8,0,0,0,60,10,14,131,-19.3
Kyle Kuzma,22:09,0.322,0.3,0.4,0.2,5.7,0,2.9,0,0,4.3,0,22.2,81,128,-14.1
Rajon Rondo,18:14,0.254,0.143,0.429,0.286,6.9,27.7,17.3,37.2,5.7,0,11.3,22,91,111,-1.3
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
