Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,33:25:00,0.757,0.692,0.308,0.385,0,7.2,3.2,27.1,3,0,11.6,23.9,135,119,11.2
Duncan Robinson,27:03:00,0,0,1,0,0,17.7,7.9,0,0,0,0,5.2,0,124,-13.8
Jae Crowder,24:30:00,0.75,0.75,0.875,0,0,9.8,4.4,0,0,8.5,0,15.2,132,120,5.5
Bam Adebayo,21:10,0.376,0.25,0,0.75,9.1,11.3,10.1,0,0,0,0,23.4,89,125,-10.7
Goran Dragić,14:50,0.375,0.375,0.125,0,0,8.1,3.6,34.3,6.7,0,11.1,28.2,78,110,1
Tyler Herro,30:15:00,0.38,0.389,0.444,0.056,0,15.9,7.1,16.7,0,0,9.8,31.4,71,124,-9.1
Andre Iguodala,25:23:00,0.5,0.5,0.286,0,7.6,14.2,10.5,35.1,0,4.1,12.5,14.7,117,122,4
Kendrick Nunn,19:49,0.818,0.818,0.364,0,4.8,24.2,13.5,26,0,0,0,25.8,155,122,17.4
Kelly Olynyk,18:04,0.34,0.2,0.4,0.4,0,33.2,14.8,30.1,0,11.6,14.5,17.7,83,112,0.8
Solomon Hill,18:02,0.333,0.333,0.667,0,0,20,8.9,0,0,0,0,15.5,64,123,-12.1
Derrick Jones,7:29,0.5,0.5,0,0,0,16,7.1,0,0,0,33.3,18.7,59,124,-12.4
Team Totals,240,0.515,0.489,0.393,0.157,10,77.5,40,60.5,4.1,10.9,7.8,100,101.6,120.3,
