Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,39:13:00,9,16,0.563,1,5,0.2,6,9,0.667,1,9,10,8,0,2,8,2,25,-4
Anthony Davis,32:58:00,6,9,0.667,1,2,0.5,2,2,1,2,3,5,3,2,0,5,4,15,-26
Kentavious Caldwell-Pope,29:10:00,1,5,0.2,1,3,0.333,2,4,0.5,0,3,3,1,1,0,0,4,5,-26
Danny Green,16:40,0,6,0,0,4,0,2,2,1,0,3,3,1,0,0,1,3,2,-15
Dwight Howard,14:32,2,2,1,0,0,,0,0,,2,1,3,1,1,0,1,2,4,-15
Rajon Rondo,27:58:00,2,8,0.25,0,3,0,0,0,,2,6,8,5,2,0,2,3,4,6
Alex Caruso,26:05:00,1,4,0.25,1,3,0.333,5,6,0.833,1,0,1,2,1,0,0,0,8,8
Markieff Morris,25:01:00,6,13,0.462,5,11,0.455,2,3,0.667,1,5,6,2,0,0,1,1,19,10
Kyle Kuzma,22:55,6,13,0.462,4,8,0.5,3,3,1,2,1,3,0,0,0,1,3,19,6
J.R. Smith,5:28,1,3,0.333,1,3,0.333,0,0,,0,1,1,0,1,0,0,0,3,1
,,,,,,,,,,,,,,,,,,,,
