Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,38:04:00,11,21,0.524,2,4,0.5,10,10,1,3,6,9,5,0,3,1,1,34,23
LeBron James,36:24:00,9,17,0.529,2,4,0.5,5,6,0.833,1,12,13,9,1,0,2,3,25,10
Kentavious Caldwell-Pope,30:26:00,3,10,0.3,2,6,0.333,5,5,1,0,2,2,0,2,1,1,1,13,2
Danny Green,29:32:00,4,9,0.444,3,8,0.375,0,0,,0,4,4,1,2,3,2,1,11,21
Dwight Howard,14:55,0,0,,0,0,,2,2,1,1,7,8,2,0,0,1,3,2,-2
Rajon Rondo,24:51:00,2,7,0.286,1,5,0.2,2,2,1,1,2,3,4,0,0,1,1,7,11
Kyle Kuzma,22:04,1,7,0.143,1,4,0.25,0,0,,2,6,8,2,1,0,1,2,3,11
Alex Caruso,21:58,4,6,0.667,1,3,0.333,1,2,0.5,1,3,4,2,1,0,1,3,10,12
Markieff Morris,17:37,3,6,0.5,2,3,0.667,0,0,,0,3,3,1,0,0,2,3,8,-1
Quinn Cook,1:23,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,3,1
J.R. Smith,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,1
Jared Dudley,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
