Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,43:26:00,8,17,0.471,0,3,0,6,7,0.857,3,7,10,9,3,1,3,1,22,-11
Tyler Herro,37:19:00,8,18,0.444,3,7,0.429,2,4,0.5,1,6,7,3,1,0,3,0,21,-13
Jae Crowder,34:38:00,2,7,0.286,2,7,0.286,2,2,1,1,6,7,2,1,1,0,4,8,2
Bam Adebayo,33:22:00,6,8,0.75,0,0,,3,5,0.6,2,5,7,1,1,0,3,4,15,3
Duncan Robinson,32:43:00,4,7,0.571,3,6,0.5,6,6,1,0,1,1,3,1,1,1,5,17,5
Kendrick Nunn,25:58:00,2,11,0.182,2,6,0.333,0,0,,0,4,4,0,0,0,0,1,6,-4
Andre Iguodala,20:09,1,3,0.333,1,1,1,0,0,,0,1,1,0,1,0,0,3,3,-5
Kelly Olynyk,12:25,1,4,0.25,0,2,0,2,2,1,0,2,2,0,0,0,1,3,4,-7
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
