Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,38:24:00,11,20,0.55,4,9,0.444,7,9,0.778,1,9,10,1,0,3,1,3,33,11
LeBron James,37:26:00,11,22,0.5,4,8,0.5,2,4,0.5,2,7,9,12,1,0,8,2,28,9
Kentavious Caldwell-Pope,30:21:00,6,9,0.667,1,3,0.333,2,4,0.5,3,0,3,4,0,0,2,2,15,5
Danny Green,26:48:00,2,7,0.286,2,6,0.333,3,3,1,0,2,2,1,0,1,2,1,9,2
JaVale McGee,17:01,4,5,0.8,0,0,,1,3,0.333,3,7,10,1,1,5,0,3,9,11
Rajon Rondo,25:26:00,0,5,0,0,4,0,0,0,,0,2,2,4,1,0,2,3,0,-10
Avery Bradley,18:50,5,9,0.556,0,3,0,0,0,,1,2,3,0,0,0,1,3,10,-3
Dwight Howard,18:31,2,3,0.667,0,0,,0,0,,4,4,8,0,0,0,2,3,4,-9
Jared Dudley,16:35,1,5,0.2,1,3,0.333,0,0,,0,2,2,3,2,0,0,2,3,-7
Alex Caruso,10:38,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,1,1,2,6
Team Totals,240,43,87,0.494,12,37,0.324,15,23,0.652,14,36,50,26,5,9,19,23,113,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
