Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,37:09:00,9,20,0.45,0,5,0,5,6,0.833,0,3,3,3,4,0,2,1,23,-2
Duncan Robinson,36:28:00,3,8,0.375,3,7,0.429,0,0,,0,3,3,0,0,0,0,3,9,-1
Kendrick Nunn,35:46:00,7,15,0.467,2,6,0.333,0,0,,0,2,2,7,2,0,1,4,16,-11
Bam Adebayo,35:21:00,5,11,0.455,0,0,,2,5,0.4,4,8,12,5,0,1,2,2,12,-8
Meyers Leonard,14:09,2,3,0.667,1,2,0.5,0,0,,0,0,0,1,0,0,1,2,5,-13
Derrick Jones,27:54:00,4,6,0.667,2,3,0.667,7,8,0.875,0,4,4,4,2,0,0,3,17,0
Tyler Herro,23:46,3,12,0.25,1,6,0.167,0,0,,0,3,3,1,0,0,1,0,7,6
Kelly Olynyk,21:00,4,8,0.5,1,4,0.25,6,7,0.857,1,5,6,3,0,0,1,5,15,8
Chris Silva,8:27,2,2,1,0,0,,2,2,1,0,1,1,0,0,1,0,1,6,6
Team Totals,240,39,85,0.459,10,33,0.303,22,28,0.786,5,29,34,24,8,2,8,21,110,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
