Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,44:44:00,0.561,0.412,0.059,0.706,9.5,11.4,10.6,49,1.2,0,11.9,28.6,129,134,2.9
Tyler Herro,42:50:00,0.581,0.458,0.25,0.5,0,16.7,9.7,11.1,0,0,12,19.6,110,135,-6.2
Jae Crowder,28:27:00,1,1,0.5,0,0,25.1,14.6,12.2,0,0,0,10.7,189,132,5.9
Duncan Robinson,21:57,0.541,0.429,1,0.429,0,0,0,27.7,2.4,0,0,19.2,129,135,0.4
Meyers Leonard,9:11,0.902,0.833,0.333,0.667,0,0,0,20.5,0,0,0,21.4,181,141,11.2
Kelly Olynyk,37:00:00,0.659,0.656,0.438,0.313,3.8,22.1,14.4,10.7,0,0,9.9,27.6,115,132,-2.1
Kendrick Nunn,29:12:00,0.674,0.5,0.571,0.857,4.8,10.5,8.1,15.9,0,3.3,17.2,20.1,126,135,-2.6
Andre Iguodala,25:38:00,1.167,1.167,0.333,0,5.5,4,4.6,6.2,0,0,0,5.9,232,139,1.7
Solomon Hill,0:43,,,,,0,0,0,0,0,0,,0,0,141,-5.7
Derrick Jones,0:14,,,,,0,0,0,0,0,0,,0,0,141,-6.7
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
