Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,38:04:00,0.669,0.571,0.19,0.476,9.5,15.1,12.6,26.1,0,7,3.8,30.9,144,101,14.2
LeBron James,36:24:00,0.636,0.588,0.235,0.353,3.3,31.6,19,45.4,1.4,0,9.2,26.5,134,103,9
Kentavious Caldwell-Pope,30:26:00,0.533,0.4,0.6,0.5,0,6.3,3.5,0,3.3,2.9,7.6,19.3,104,99,-0.7
Danny Green,29:32:00,0.611,0.611,0.889,0,0,13,7.2,5.2,3.4,9,18.2,16.6,95,92,5.9
Dwight Howard,14:55,1.136,,,,8,45.1,28.6,16.9,0,0,53.2,5.6,150,103,1.1
Rajon Rondo,24:51:00,0.444,0.357,0.714,0.286,4.8,7.7,6.4,22.6,0,0,11.3,15.9,109,109,-5.2
Kyle Kuzma,22:04,0.214,0.214,0.571,0,10.9,26.1,19.3,12.1,2.3,0,12.5,16.1,72,101,-7.5
Alex Caruso,21:58,0.727,0.75,0.5,0.333,5.5,13.1,9.7,14.9,2.3,0,12.7,16,133,103,2.9
Markieff Morris,17:37,0.667,0.667,0.5,0,0,16.3,9.1,9.1,0,0,25,20.2,93,108,-4.1
Jared Dudley,1:23,,,,,0,0,0,0,0,64.3,,0,0,48,32.1
Quinn Cook,1:23,1.5,1.5,1,0,0,0,0,0,0,0,0,32.2,300,110,68.1
J.R. Smith,1:23,,,,,0,0,0,0,0,0,,0,0,109,-18.3
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
