Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,47:12:00,0.721,0.605,0.158,0.632,13.4,18.7,16.1,41.7,5.5,2.3,11,26.3,151,107,20.6
Jae Crowder,39:47:00,0.409,0.385,0.692,0.077,3.2,6.4,4.8,3.6,0,0,18.2,18.8,75,125,-12.6
Bam Adebayo,37:55:00,0.472,0.417,0,0.333,3.3,10,6.7,16,0,2.9,17.9,20.1,94,123,-5.9
Duncan Robinson,37:03:00,0.797,0.767,0.867,0.2,3.4,13.6,8.5,9.4,1.4,0,5.8,21.2,148,119,11.3
Tyler Herro,30:37:00,0.505,0.455,0.273,0.182,0,4.1,2.1,14.8,0,0,14.4,20.6,98,126,-4.8
Kendrick Nunn,27:40:00,0.636,0.636,0.364,0,4.6,13.7,9.1,18.9,0,0,0,18.1,139,123,4.9
Andre Iguodala,19:46,0,0,0.5,0,0,38.3,19.2,12.8,2.6,5.5,33.3,6.9,41,105,-5.3
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
