Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,41:31:00,0.619,0.563,0.25,0.25,0,26.7,12.8,18,1.3,10.8,10.1,22.1,119,99,9.4
LeBron James,38:38:00,0.658,0.563,0.313,0.75,5.9,31.9,18.4,39.7,1.4,0,22,32.8,117,105,8.1
Kentavious Caldwell-Pope,31:37:00,0.625,0.625,0.667,0,3.6,7.8,5.6,29.3,0,0,7.7,19.1,128,114,5.5
Danny Green,20:50,0.625,0.625,0.75,0,5.5,5.9,5.7,8.9,5.1,0,11.1,20.1,112,102,7.6
Dwight Howard,7:49,0,0,0,0,14.6,15.7,15.2,0,0,0,66.7,17.8,23,112,-24.8
Markieff Morris,30:02:00,0.483,0.375,0.875,0.375,3.8,8.2,5.9,10.1,0,0,0,14.4,119,114,-0.8
Rajon Rondo,28:14:00,0.143,0.143,0.286,0,8.1,21.8,14.7,25.5,1.9,0,12.5,13.2,77,106,-6.5
Alex Caruso,22:19,0.7,0.7,0.4,0,10.2,0,5.3,0,0,0,16.7,12.5,119,116,-0.5
Kyle Kuzma,19:00,0.654,0.667,0.833,0.333,0,13,6.2,0,0,0,12.7,19.3,104,112,-1.6
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
