Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,41:31:00,8,16,0.5,2,4,0.5,4,4,1,0,9,9,4,1,4,2,2,22,17
LeBron James,38:38:00,8,16,0.5,2,5,0.4,10,12,0.833,2,10,12,8,1,0,6,2,28,-2
Kentavious Caldwell-Pope,31:37:00,6,12,0.5,3,8,0.375,0,0,,1,2,3,5,0,0,1,2,15,8
Danny Green,20:50,4,8,0.5,2,6,0.333,0,0,,1,1,2,1,2,0,1,1,10,5
Dwight Howard,7:49,0,1,0,0,0,,0,0,,1,1,2,0,0,0,2,1,0,3
Markieff Morris,30:02:00,2,8,0.25,2,7,0.286,3,3,1,1,2,3,2,0,0,0,2,9,0
Rajon Rondo,28:14:00,1,7,0.143,0,2,0,0,0,,2,5,7,5,1,0,1,2,2,8
Alex Caruso,22:19,3,5,0.6,1,2,0.5,0,0,,2,0,2,0,0,0,1,0,7,-5
Kyle Kuzma,19:00,3,6,0.5,2,5,0.4,1,2,0.5,0,2,2,0,0,0,1,2,9,-4
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
