Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,44:51:00,14,20,0.7,0,0,,12,14,0.857,1,10,11,13,2,2,5,0,40,20
Duncan Robinson,39:18:00,4,12,0.333,3,10,0.3,2,2,1,0,5,5,3,2,1,0,4,13,27
Tyler Herro,36:28:00,6,18,0.333,2,7,0.286,3,3,1,0,3,3,2,1,0,1,1,17,1
Jae Crowder,33:55:00,5,12,0.417,2,8,0.25,0,0,,1,7,8,1,0,0,1,4,12,21
Meyers Leonard,12:43,3,3,1,1,1,1,0,0,,0,1,1,0,1,0,0,2,7,13
Kelly Olynyk,31:21:00,5,9,0.556,3,5,0.6,4,4,1,0,7,7,1,2,0,0,4,17,-1
Kendrick Nunn,19:57,2,3,0.667,0,1,0,0,0,,0,1,1,2,0,0,4,5,4,-6
Andre Iguodala,16:56,1,2,0.5,0,1,0,0,0,,1,0,1,3,0,0,1,2,2,-13
Solomon Hill,3:53,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,1,3,-5
Derrick Jones,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
