Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,44:51:00,0.765,0.7,0,0.7,3.1,23.8,14.7,53.5,2.2,5.8,16,32.7,142,101,18.2
Duncan Robinson,39:18:00,0.505,0.458,0.833,0.167,0,13.6,7.6,10.1,2.5,3.3,0,15.4,107,104,1.6
Tyler Herro,36:28:00,0.44,0.389,0.389,0.167,0,8.8,4.9,8,1.3,0,4.9,26.2,86,110,-6.1
Jae Crowder,33:55:00,0.5,0.5,0.667,0,4,22,14.2,4.2,0,0,7.7,18,94,109,-5.4
Meyers Leonard,12:43,1.167,1.167,0.333,0,0,8.4,4.7,0,3.9,0,0,11.1,233,104,11.4
Kelly Olynyk,31:21:00,0.79,0.722,0.556,0.444,0,23.8,13.4,4.6,3.1,0,0,16.1,154,101,8.3
Kendrick Nunn,19:57,0.667,0.667,0.333,0,0,5.3,3,13.3,0,0,57.1,16.5,63,113,-14.4
Andre Iguodala,16:56,0.5,0.5,0.5,0,8.1,0,3.5,22.3,0,0,33.3,8.3,116,116,-1.3
Solomon Hill,3:53,1.5,1.5,1,0,0,0,0,0,0,0,0,12.1,300,115,16.8
Derrick Jones,0:38,,,,,0,0,0,0,0,0,,0,0,116,-4.3
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
